,type,timestamp,datestamp,txAntennaPort,txExpanderPort,rssi1,rssi2
99,RoundStart,2021-12-01 11:31:57.186,21/12/01 11:31:57.186,PORT_1,NONE,0.0,0.0
100,RoundStart,2021-12-01 11:31:57.206,21/12/01 11:31:57.206,PORT_1,NONE,0.0,0.0
101,RoundStart,2021-12-01 11:31:57.246,21/12/01 11:31:57.246,PORT_1,NONE,0.0,0.0
102,RoundStart,2021-12-01 11:31:57.267,21/12/01 11:31:57.267,PORT_1,NONE,0.0,0.0
103,RoundStart,2021-12-01 11:31:57.286,21/12/01 11:31:57.286,PORT_1,NONE,0.0,0.0
104,RoundStart,2021-12-01 11:31:57.306,21/12/01 11:31:57.306,PORT_1,NONE,0.0,0.0
105,RoundStart,2021-12-01 11:31:57.347,21/12/01 11:31:57.347,PORT_1,NONE,0.0,0.0
106,TagReadData,2021-12-01 11:31:57.348,21/12/01 11:31:57.348,PORT_1,NONE,-43.34,-66.75
107,RoundStart,2021-12-01 11:31:57.366,21/12/01 11:31:57.366,PORT_1,NONE,0.0,0.0
108,RoundStart,2021-12-01 11:31:57.386,21/12/01 11:31:57.386,PORT_1,NONE,0.0,0.0
109,Health,2021-12-01 11:32:04.365,21/12/01 11:32:04.365,,,0.0,0.0
110,Health,2021-12-01 11:32:14.385,21/12/01 11:32:14.385,,,0.0,0.0
111,Health,2021-12-01 11:32:24.385,21/12/01 11:32:24.385,,,0.0,0.0
112,Health,2021-12-01 11:32:34.385,21/12/01 11:32:34.385,,,0.0,0.0
113,Health,2021-12-01 11:32:44.385,21/12/01 11:32:44.385,,,0.0,0.0
114,Health,2021-12-01 11:32:54.405,21/12/01 11:32:54.405,,,0.0,0.0
